path,role,size_bytes,sha256,duplicate_group
cove_bc4_v0_1/.pytest_cache/.gitignore,cove_bc4_current_gauge_benchmark,37,3ed731b65d06150c138e2dadb0be0697550888a6b47eb8c45ecc9adba8b8e9bd,"['cove_bc4_v0_1/.pytest_cache/.gitignore', 'ocean_zero_base_v1/.pytest_cache/.gitignore']"
cove_bc4_v0_1/.pytest_cache/CACHEDIR.TAG,cove_bc4_current_gauge_benchmark,191,37dc88ef9a0abeddbe81053a6dd8fdfb13afb613045ea1eb4a5c815a74a3bde4,"['cove_bc4_v0_1/.pytest_cache/CACHEDIR.TAG', 'ocean_zero_base_v1/.pytest_cache/CACHEDIR.TAG']"
cove_bc4_v0_1/.pytest_cache/README.md,cove_bc4_current_gauge_benchmark,302,73fd6fccdd802c419a6b2d983d6c3173b7da97558ac4b589edec2dfe443db9ad,"['cove_bc4_v0_1/.pytest_cache/README.md', 'ocean_zero_base_v1/.pytest_cache/README.md']"
cove_bc4_v0_1/.pytest_cache/v/cache/nodeids,cove_bc4_current_gauge_benchmark,400,a1799f6a08c24cd4d577a63935c04d027594b63817115a45e6c7387e3618f2f1,[]
cove_bc4_v0_1/README_ko.md,cove_bc4_current_gauge_benchmark,2247,bcedd79abd26fb87e41ea15ad8ac4b2c685288e55c02bd2322b031ab7a29ffa7,[]
cove_bc4_v0_1/RESEARCH_INTEGRITY.md,cove_bc4_current_gauge_benchmark,825,dc0ff42e17ac8f02d566cff5ad4020857ec9c2753e7d52e7a3a18944aceb8777,[]
cove_bc4_v0_1/_renders/page-1.png,cove_bc4_current_gauge_benchmark,266645,13e2ed17b68c208a405a2cb18941fa15be20121a32b2e7831496b66780688300,"['cove_bc4_v0_1/_renders/page-1.png', 'user-xNcLVYaos9BZTvYQvwadWwlz/2186bc90f7f847dca48f8b66470e6787/mnt/data/cove_bc4_v0_1/_renders/page-1.png']"
cove_bc4_v0_1/_renders/page-2.png,cove_bc4_current_gauge_benchmark,132716,7bfe6c237fe1832dc424331b0d905d0115d42c813ad4dfcf1bc8805d4e055db0,[]
cove_bc4_v0_1/_renders/page-3.png,cove_bc4_current_gauge_benchmark,145887,04471c98a8640f5a7a4c36a60ba8f50366f7fd4289947b65ac05978bc6412ca6,[]
cove_bc4_v0_1/_renders/page-4.png,cove_bc4_current_gauge_benchmark,135692,36ac47f5475e0222ba0825a03f4624dd88b292f7134eb48ad59d02ae00f9e72b,"['cove_bc4_v0_1/_renders/page-4.png', 'user-xNcLVYaos9BZTvYQvwadWwlz/2186bc90f7f847dca48f8b66470e6787/mnt/data/cove_bc4_v0_1/_renders/page-4.png']"
cove_bc4_v0_1/manuscript/cove_manuscript.md,cove_bc4_current_gauge_benchmark,6071,cbefa3133a2c87fcf1d3d53647bf05c95d3a94352045046df38442a1807e1e45,[]
cove_bc4_v0_1/manuscript/cove_manuscript.pdf,cove_bc4_current_gauge_benchmark,8365,78924bdd1f36fbac16dd0428d448f3c020fd73e409a1c45b6d9b81e7ae0a4e63,[]
cove_bc4_v0_1/outputs/cove_predictions.csv,cove_bc4_current_gauge_benchmark,1215,3e61caffc9a2e209cacd257d3921000bd545c90899226e93c75aadc3d5df2e0d,[]
cove_bc4_v0_1/outputs/cove_results.json,cove_bc4_current_gauge_benchmark,2874,f1934d99f5af83ee14a5a198f382ef5014339d364bd14710d790bc2d87e6f1e5,[]
cove_bc4_v0_1/outputs/cove_threshold_spectrum.csv,cove_bc4_current_gauge_benchmark,714,32639d7f38db607eda2626cd9183a7951fa89a623fba452c71ad41d98dd5c512,[]
cove_bc4_v0_1/outputs/ocean_comparison.csv,cove_bc4_current_gauge_benchmark,360,9a6f253d0249fae57db4d1773e9b37fb84e884edf27c0dc764ff2a4d2349f38f,[]
